id	version	q1.food	q2.water	q3.rest.dis	q4.therm.dis	q5.res.mov	q6.injury	q7.disease	q8.pain	q9.norm.behav	q10.other.behav	q11.neg.affect	q12.pos.affect	confidence	origin	categ																																																				
R_p6tUpQ9XjKQ7z5D	1	1	1	1	4	1	3	2	3	1	1	2	1	5	b	red.m																																																				
R_2c24W8xGxA18Ubl	1	1	1	6	2	6	2	1	2	5	5	2	5	3	b	red.m																																																				
R_1DqDnRoTRM1AJgk	1	2	2	3	4	2	2	5	2	1	1	3	2	4	b	red.m																																																				
R_3EtAzFGFTkbOMld	1	2	2	2	4	1	2	3	5	2	2	2	2	4	b	red.m																																																				
R_6f1zX9VCxcmJ26Z	1	4	2	1	5	3	4	4	5	4	5	4	3	5	b	red.m																																																				
R_xyjgLiggbmUUylj	1	3	4	4	3	4	4	4	3	5	5	5	5	3	b	red.m																																																				
R_3mlQnj8I8d8QvCS	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	b	red.m																																																				
R_3FP9Uon1haBJ9Pn	1	1	1	1	2	1	1	2	1	1	1	2	1	4	b	red.m																																																				
R_2cw5wplYk1Fay5D	1	1	1	1	3	1	2	2	4	1	1	1	1	4	b	red.m																																																				
R_BA3MJVkrEivQzKN	1	3	2	2	3	2	2	2	2	2	2	2	2	3	b	red.m																																																				
R_9Fwj5KgDsU241Vv	1	3	2	4	5	3	4	5	4	4	4	5	4	3	b	red.m																																																				
R_1Fb7QsWMRzEL1Dz	1	3	5	2	5	2	1	2	3	2	2	3	2	5	b	red.m																																																				
R_3fwtjTkCSATUi7W	1	1	2	2	3	1	2	2	5	1	2	2	2	4	b	red.m																																																				
R_25yJwdqRcy1lLDL	1	1	2	1	4	1	3	3	4	1	2	2	2	4	b	red.m																																																				
R_12J8mTiQQhjADnp	1	2	2	2	3	1	2	2	2	1	1	2	3	5	b	red.m																																																				
R_2eaQZYlGhshonY9	1	2	2	2	3	3	2	2	2	2	2	2	2	5	b	red.m																																																				
R_3EAn1cnHql4bkUM	2	1	3	2	4	1	2	4	4	2	2	3	3	5	b	red.m																																																				
R_DdBOruQbogui7ap	2	2	3	2	4	1	3	4	5	1	2	3	2	5	b	red.m																																																				
R_3qqYZEr2bErmgHU	2	1	1	1	2	1	1	2	7	1	1	7	1	5	b	red.m																																																				
R_2wB9mquI7hXwnji	2	5	1	1	3	1	2	2	2	1	1	2	1	5	b	red.m																																																				
R_1od4UIhFj0lpD98	2	1	1	1	1	1	1	1	1	1	1	1	1	5	b	red.m																																																				
R_24AvPnmtMsxd2Rs	2	3	4	5	5	4	5	4	5	5	4	5	4	3	b	red.m																																																				
R_3FUxMVDjBaaFl0Q	2	1	2	3	3	4	3	5	5	2	6	4	5	4	b	red.m																																																				
R_10qhdFD6DXfCoAo	2	1	1	1	3	1	2	2	7	2	2	2	2	4	b	red.m																																																				
R_1jUF3d0Crle6TIS	2	3	2	2	5	4	4	4	4	2	2	3	2	3	b	red.m																																																				
R_1r6yo1qxQZVuiOO	2	3	4	5	4	5	5	4	5	5	4	5	5	4	b	red.m																																																				
R_W3AKNfpPvb8BGzn	2	1	1	1	4	1	7	5	7	1	1	2	1	4	b	red.m																																																				
R_2ZHLhFYQqEx9hoS	2	3	1	3	2	3	2	3	2	3	4	3	5	5	b	red.m																																																				
R_3GlEx8W9ySCDRdU	2	6	1	4	3	2	2	3	3	2	2	2	3	4	b	red.m																																																				
