id	q1.acc.pasture	q2.acc.dam	q3.suck.dam	q4.transp.6m	a.origin	a.categ
R_p6tUpQ9XjKQ7z5D	1	1	1	2	b	rep.calf
R_2c24W8xGxA18Ubl	2	1	1	3	b	rep.calf
R_1DqDnRoTRM1AJgk	1	1	1	2	b	rep.calf
R_3EtAzFGFTkbOMld	1	1	1	2	b	rep.calf
R_6f1zX9VCxcmJ26Z	1	1	1	3	b	rep.calf
R_xyjgLiggbmUUylj	1	1	1	3	b	rep.calf
R_3mlQnj8I8d8QvCS	2	1	1	2	b	rep.calf
R_3FP9Uon1haBJ9Pn	1	1	1	3	b	rep.calf
R_2cw5wplYk1Fay5D	1	1	1	3	b	rep.calf
R_BA3MJVkrEivQzKN	2	1	1	3	b	rep.calf
R_9Fwj5KgDsU241Vv	2	1	1	3	b	rep.calf
R_1Fb7QsWMRzEL1Dz	1	1	1	3	b	rep.calf
R_3fwtjTkCSATUi7W	1	1	1	3	b	rep.calf
R_25yJwdqRcy1lLDL	1	1	1	3	b	rep.calf
R_12J8mTiQQhjADnp	1	1	1	3	b	rep.calf
R_2eaQZYlGhshonY9	1	1	1	3	b	rep.calf
R_3EAn1cnHql4bkUM	1	1	1	3	b	rep.calf
R_DdBOruQbogui7ap	1	1	1	1	b	rep.calf
R_3qqYZEr2bErmgHU	1	1	1	3	b	rep.calf
R_2wB9mquI7hXwnji	1	1	1	3	b	rep.calf
R_1od4UIhFj0lpD98	1	1	1	1	b	rep.calf
R_24AvPnmtMsxd2Rs	1	1	1	2	b	rep.calf
R_3FUxMVDjBaaFl0Q	3	1	1	3	b	rep.calf
R_10qhdFD6DXfCoAo	1	1	1	2	b	rep.calf
R_1jUF3d0Crle6TIS	2	2	2	3	b	rep.calf
R_1r6yo1qxQZVuiOO	1	1	1	2	b	rep.calf
R_W3AKNfpPvb8BGzn	1	1	1	2	b	rep.calf
R_2ZHLhFYQqEx9hoS	2	2	2	3	b	rep.calf
R_3GlEx8W9ySCDRdU	2	1	2	2	b	rep.calf
R_2EgSAOztzsBHzrD	1	1	1	3	b	rep.calf
R_2BboHMYMIvBrldB	2	1	1	3	b	rep.calf
R_3R93J87oMj56oGk	1	1	1	3	b	rep.calf
R_3iVFMG5FpActOmI	1	1	1	2	b	rep.calf
R_3NP3YJgpOD2Aieo	1	1	1	3	b	rep.calf
R_3EsDQMtCoovYb0c	1	1	1	4	b	rep.calf
R_8BaZEtzALcB7tDP	1	1	1	2	b	rep.calf
R_SJcsQO0rhhHesxz	1	1	1	3	b	rep.calf
R_33DrtwdUrnQRDk9	1	1	1	3	b	rep.calf
R_322x7bkZvTtB4RM	1	1	1	3	b	rep.calf
