id	q1.acc.pasture	q2.solid.feed	q3.bedding	q4.slatted.f	q5.slaugh.8m	a.origin	a.categ
R_p6tUpQ9XjKQ7z5D	NA	NA	NA	NA	NA	b	veal
R_2c24W8xGxA18Ubl	NA	NA	NA	NA	NA	b	veal
R_1DqDnRoTRM1AJgk	NA	NA	NA	NA	NA	b	veal
R_3EtAzFGFTkbOMld	NA	NA	NA	NA	NA	b	veal
R_6f1zX9VCxcmJ26Z	1	1	3	3	1	b	veal
R_xyjgLiggbmUUylj	NA	NA	NA	NA	NA	b	veal
R_3mlQnj8I8d8QvCS	NA	NA	NA	NA	NA	b	veal
R_3FP9Uon1haBJ9Pn	NA	NA	NA	NA	NA	b	veal
R_2cw5wplYk1Fay5D	NA	NA	NA	NA	NA	b	veal
R_BA3MJVkrEivQzKN	NA	NA	NA	NA	NA	b	veal
R_9Fwj5KgDsU241Vv	NA	NA	NA	NA	NA	b	veal
R_1Fb7QsWMRzEL1Dz	NA	NA	NA	NA	NA	b	veal
R_3fwtjTkCSATUi7W	NA	NA	NA	NA	NA	b	veal
R_25yJwdqRcy1lLDL	NA	NA	NA	NA	NA	b	veal
R_12J8mTiQQhjADnp	NA	NA	NA	NA	NA	b	veal
R_2eaQZYlGhshonY9	3	1	2	2	2	b	veal
R_3EAn1cnHql4bkUM	NA	NA	NA	NA	NA	b	veal
R_DdBOruQbogui7ap	NA	NA	NA	NA	NA	b	veal
R_3qqYZEr2bErmgHU	1	1	3	3	1	b	veal
R_2wB9mquI7hXwnji	1	3	3	3	3	b	veal
R_1od4UIhFj0lpD98	NA	NA	NA	NA	NA	b	veal
R_24AvPnmtMsxd2Rs	NA	NA	NA	NA	NA	b	veal
R_3FUxMVDjBaaFl0Q	NA	NA	NA	NA	NA	b	veal
R_10qhdFD6DXfCoAo	3	1	1	2	1	b	veal
R_1jUF3d0Crle6TIS	NA	NA	NA	NA	NA	b	veal
R_1r6yo1qxQZVuiOO	NA	NA	NA	NA	NA	b	veal
R_W3AKNfpPvb8BGzn	NA	NA	NA	NA	NA	b	veal
R_2ZHLhFYQqEx9hoS	NA	NA	NA	NA	NA	b	veal
R_3GlEx8W9ySCDRdU	NA	NA	NA	NA	NA	b	veal
R_2EgSAOztzsBHzrD	NA	NA	NA	NA	NA	b	veal
R_2BboHMYMIvBrldB	2	2	2	2	1	b	veal
R_3R93J87oMj56oGk	NA	NA	NA	NA	NA	b	veal
R_3iVFMG5FpActOmI	NA	NA	NA	NA	NA	b	veal
R_3NP3YJgpOD2Aieo	NA	NA	NA	NA	NA	b	veal
R_3EsDQMtCoovYb0c	NA	NA	NA	NA	NA	b	veal
R_8BaZEtzALcB7tDP	NA	NA	NA	NA	NA	b	veal
R_SJcsQO0rhhHesxz	NA	NA	NA	NA	NA	b	veal
R_33DrtwdUrnQRDk9	NA	NA	NA	NA	NA	b	veal
R_322x7bkZvTtB4RM	NA	NA	NA	NA	NA	b	veal
R_2B9AqctUCavJZnr	NA	NA	NA	NA	NA	b	veal
R_2AThK0ypdznN22o	NA	NA	NA	NA	NA	b	veal
R_5C6RdnjBcMIpB5L	NA	NA	NA	NA	NA	b	veal
R_3JgDxLQGZ06U9tk	NA	NA	NA	NA	NA	b	veal
R_10GwBf8xQR0cr8h	3	1	3	1	2	b	veal
R_1g89TflcmEq5dyW	3	1	3	1	NA	b	veal
R_6xRxRoMMEyuM5y1	NA	NA	NA	NA	NA	b	veal
R_1CfLlEXlcLwcKCA	NA	NA	NA	NA	NA	b	veal
R_urE3aBaJrepGdmF	NA	NA	NA	NA	NA	b	veal
R_3D5Dfp9dK7wkK8n	NA	NA	NA	NA	NA	b	veal
R_3Dc0ailmijra0bu	NA	NA	NA	NA	NA	b	veal
R_30pjztGP5OEKaFS	NA	NA	NA	NA	NA	b	veal
R_2TtPSAdmUztT7wL	NA	NA	NA	NA	NA	b	veal
R_UJuQ2MPz1AApbY5	NA	NA	NA	NA	NA	b	veal
R_0Pw4SJH7Rmy4GAh	3	1	2	2	3	b	veal
R_af1DrCKPNZbG4Zr	NA	NA	NA	NA	NA	b	veal
R_TuBpgV2dDwtQ1Jn	NA	NA	NA	NA	NA	b	veal
R_1Lhbp5lsxdTp4Xh	NA	NA	NA	NA	NA	b	veal
R_32WTW3i3e1AcfJj	NA	NA	NA	NA	NA	b	veal
R_2X4gv5JfatTuCHj	NA	NA	NA	NA	NA	b	veal
R_d7ilf18tbKr7ddv	NA	NA	NA	NA	NA	b	veal
R_3sh8WYaTYtmA54s	NA	NA	NA	NA	NA	b	veal
R_3QVJhduPxthkl0G	NA	NA	NA	NA	NA	b	veal
R_2Ym7AwqfCagMAZJ	3	1	3	1	1	b	veal
R_1LG5JfAQifGKUuO	NA	NA	NA	NA	NA	b	veal
R_2vY58O2e0m6LTo0	3	2	1	3	1	b	veal
